URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/patient-age-gender-snomed-profile","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-encounter-profile,StructureDefinition/stroke-carotid-imaging-procedure-profile,StructureDefinition/patient-age-gender-snomed-profile,StructureDefinition/base-stroke-observation,StructureDefinition/age-at-onset-observation-profile,StructureDefinition/functional-score-observation-profile,StructureDefinition/discharge-medication-request-profile,StructureDefinition/stroke-mechanical-procedure-profile,StructureDefinition/stroke-circumstance-observation-profile,StructureDefinition/timing-metric-observation-profile,StructureDefinition/stroke-registry-organization-profile,StructureDefinition/stroke-brain-imaging-procedure-profile,StructureDefinition/prior-medication-statement-profile,StructureDefinition/stroke-diagnosis-condition-profile,StructureDefinition/stroke-swallow-procedure-profile,StructureDefinition/vital-sign-observation-profile,StructureDefinition/specific-finding-observation-profile","Other"
http://hl7.org/fhir/ValueSet/body-site,5.0.0,draft,"2.16.840.1.113883.4.642.3.653,2.16.840.1.113883.4.642.2.78,2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-carotid-imaging-procedure-profile,StructureDefinition/base-stroke-observation,StructureDefinition/age-at-onset-observation-profile,StructureDefinition/functional-score-observation-profile,StructureDefinition/stroke-mechanical-procedure-profile,StructureDefinition/stroke-circumstance-observation-profile,StructureDefinition/timing-metric-observation-profile,StructureDefinition/stroke-brain-imaging-procedure-profile,StructureDefinition/stroke-diagnosis-condition-profile,StructureDefinition/stroke-swallow-procedure-profile,StructureDefinition/vital-sign-observation-profile,StructureDefinition/specific-finding-observation-profile","SCT"
http://hl7.org/fhir/ValueSet/clinical-findings,5.0.0,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.3.227,2.16.840.1.113883.4.642.2.115",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-diagnosis-condition-profile","SCT"
http://hl7.org/fhir/ValueSet/condition-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.153,2.16.840.1.113883.4.642.3.162,2.16.840.1.113883.4.642.2.73",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-diagnosis-condition-profile","THO"
http://hl7.org/fhir/ValueSet/condition-clinical,5.0.0,draft,"2.16.840.1.113883.4.642.3.155,2.16.840.1.113883.4.642.3.164,2.16.840.1.113883.4.642.2.74",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-diagnosis-condition-profile","THO"
http://hl7.org/fhir/ValueSet/condition-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.161,2.16.840.1.113883.4.642.2.72,2.16.840.1.113883.4.642.3.152",ConditionProblemDiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/discharge-medication-request-profile,StructureDefinition/stroke-mechanical-procedure-profile,StructureDefinition/stroke-encounter-profile,StructureDefinition/stroke-carotid-imaging-procedure-profile,StructureDefinition/stroke-brain-imaging-procedure-profile,StructureDefinition/prior-medication-statement-profile,StructureDefinition/stroke-swallow-procedure-profile","SCT"
http://hl7.org/fhir/ValueSet/condition-severity,5.0.0,draft,"2.16.840.1.113883.4.642.3.168,2.16.840.1.113883.4.642.2.76,2.16.840.1.113883.4.642.3.159",ConditionDiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-diagnosis-condition-profile","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,5.0.0,draft,"2.16.840.1.113883.4.642.3.161,2.16.840.1.113883.4.642.3.170,2.16.840.1.113883.4.642.2.408",ConditionStage,Condition Stage,"Value set for stages of cancer and other conditions.","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-diagnosis-condition-profile","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/stroke-risk-factor-condition-profile,StructureDefinition/stroke-diagnosis-condition-profile","SCT"
